;Gemeentenaam;month;koopprijs;Relative_difference %
3857;Veenendaal;11;273530.2631578947;-8.501656859927332
3858;Veenendaal;12;388502.4691358025;42.0327186654079
3859;Veere;1;249821.42857142858;
3860;Veere;2;339586.6666666667;35.93176078151061
3861;Veere;3;200076.92307692306;-41.08222061812702
3862;Veere;4;279531.25;39.71188965782393
3863;Veere;5;300788.46153846156;7.604592165799562
3864;Veere;6;375695.652173913;24.903611745051315
3865;Veere;7;356671.4285714286;-5.06373270289483
3866;Veere;8;227500.0;-36.2158048624184
3867;Veere;9;268141.0714285714;17.86420722135007
3868;Veere;10;260855.55555555556;-2.7170458573171685
3869;Veere;11;397900.0;52.53652510968181
3870;Veere;12;288500.0;-27.494345312892687
3871;Veldhoven;1;326500.0;
3872;Veldhoven;2;338941.8604651163;3.810677018412334
3873;Veldhoven;3;319029.4117647059;-5.874886233611076
3874;Veldhoven;4;301094.5945945946;-5.621681421441727
3875;Veldhoven;5;383372.3404255319;27.32621153219945
3876;Veldhoven;6;328546.511627907;-14.300934891852101
3877;Veldhoven;7;347239.1304347826;5.689489355481503
3878;Veldhoven;8;377485.71428571426;8.710591981110971
3879;Veldhoven;9;328273.58490566036;-13.036819015303413
3880;Veldhoven;10;303914.0625;-7.420494223639961
3881;Veldhoven;11;329590.9090909091;8.448719476713617
3882;Veldhoven;12;349916.6666666667;6.166965476026287
3883;Velsen;1;322072.9166666667;
3884;Velsen;2;323920.0;0.5734984960703793
3885;Velsen;3;299803.2786885246;-7.445270842021301
3886;Velsen;4;299012.71186440677;-0.26369518958436755
3887;Velsen;5;285807.6923076923;-4.416206747324692
3888;Velsen;6;324426.4705882353;13.512154962913714
3889;Velsen;7;340127.2727272727;4.839556436492187
3890;Velsen;8;379877.45098039217;11.686854139742175
3891;Velsen;9;365123.417721519;-3.8838928767147896
3892;Velsen;10;309032.2580645161;-15.362246554063486
3893;Velsen;11;301249.0740740741;-2.518566844506287
3894;Velsen;12;322228.5714285714;6.964169904581574
3895;Venlo;1;223176.82926829267;
3896;Venlo;2;225095.2380952381;0.8595913981012782
3897;Venlo;3;241445.54455445544;7.263728276783676
3898;Venlo;4;236365.33333333334;-2.104081576861039
3899;Venlo;5;253268.75;7.151394169477743
3900;Venlo;6;266087.20930232556;5.06120842082789
3901;Venlo;7;237096.5909090909;-10.89515669289305
3902;Venlo;8;240594.38775510204;1.4752623952118737
3903;Venlo;9;253421.19565217392;5.331299710169524
3904;Venlo;10;217074.46808510637;-14.342418152329383
3905;Venlo;11;255560.9756097561;17.729633459039817
3906;Venlo;12;286986.26373626373;12.296591078324237
3907;Venray;1;259920.0;
3908;Venray;2;279514.81481481483;7.53878686319438
3909;Venray;3;251178.57142857142;-10.137653492540943
3910;Venray;4;254650.0;1.38205602161241
3911;Venray;5;257250.0;1.0210092283526429
3912;Venray;6;240233.0487804878;-6.614947024105811
3913;Venray;7;266609.375;10.979474453414406
3914;Venray;8;248403.7037037037;-6.828593816813944
3915;Venray;9;236484.84848484848;-4.798179351251564
3916;Venray;10;252632.5185185185;6.828204909163382
3917;Venray;11;264166.6666666667;4.565583328617562
3918;Venray;12;262050.0;-0.8012618296529994
3919;Vianen;1;359538.46153846156;
3920;Vianen;2;296103.4482758621;-17.643456833842386
3921;Vianen;3;351692.3076923077;18.773458985407277
3922;Vianen;4;300921.05263157893;-14.436271124004241
3923;Vianen;5;288650.0;-4.077831219938776
3924;Vianen;6;359119.04761904763;24.41331980566348
3925;Vianen;7;369994.69696969696;3.028424535750651
3926;Vianen;8;324136.36363636365;-12.394321785938779
3927;Vianen;9;335290.32258064515;3.4411316333500697
3928;Vianen;10;391730.76923076925;16.833306197362386
3929;Vianen;11;328033.3333333333;-16.260513827524147
3930;Vianen;12;315833.3333333333;-3.7191342343257827
3931;Vlaardingen;1;214718.10344827586;
3932;Vlaardingen;2;235683.0985915493;9.76396251950118
3933;Vlaardingen;3;232109.41176470587;-1.5163101843958637
3934;Vlaardingen;4;248641.30434782608;7.122456800622512
3935;Vlaardingen;5;211340.50632911394;-15.001851006432865
3936;Vlaardingen;6;222051.13636363635;5.067949453023024
3937;Vlaardingen;7;224116.43835616438;0.9301019694606838
3938;Vlaardingen;8;236972.15189873418;5.736176086351863
3939;Vlaardingen;9;224371.9387755102;-5.317170402625393
3940;Vlaardingen;10;259361.73469387754;15.594550775520787
3941;Vlaardingen;11;303191.17647058825;16.89896230391974
3942;Vlaardingen;12;247528.98550724637;-18.358776667348543
3943;Vlieland;3;395000.0;
3944;Vlissingen;1;212944.44444444444;
3945;Vlissingen;2;210233.33333333334;-1.2731541873206242
3946;Vlissingen;3;217539.19607843139;3.4751210139993827
3947;Vlissingen;4;193764.44444444444;-10.928950764999247
3948;Vlissingen;5;213190.47619047618;10.025591538080935
3949;Vlissingen;6;270592.78350515466;26.925361930047977
3950;Vlissingen;7;208777.77777777778;-22.84429204897821
3951;Vlissingen;8;224703.7037037037;7.628171012950147
3952;Vlissingen;9;218823.40425531915;-2.6169125615029376
3953;Vlissingen;10;212737.70491803277;-2.7811007501673313
3954;Vlissingen;11;190716.57407407407;-10.351306014344463
3955;Vlissingen;12;229838.46153846153;20.5131030977898
3956;Voerendaal;1;319212.5;
3957;Voerendaal;2;345000.0;8.078474370521205
3958;Voerendaal;3;289777.77777777775;-16.006441223832535
3959;Voerendaal;4;254714.2857142857;-12.100131463628394
3960;Voerendaal;5;214833.33333333334;-15.657132174238175
3961;Voerendaal;6;277600.0;29.216446858029464
3962;Voerendaal;7;398714.28571428574;43.62906545903664
3963;Voerendaal;8;343550.0;-13.835542816194913
3964;Voerendaal;9;284714.28571428574;-17.12580826246959
3965;Voerendaal;10;327916.6666666667;15.173942130791108
3966;Voerendaal;11;285285.71428571426;-13.000544563441652
3967;Voerendaal;12;317357.14285714284;11.241862794191281
3968;Voorschoten;1;471105.2631578947;
3969;Voorschoten;2;330545.45454545453;-29.836178791602762
3970;Voorschoten;3;423425.9259259259;28.099152507843385
3971;Voorschoten;4;410104.1666666667;-3.1461841242072963
3972;Voorschoten;5;455652.77777777775;11.106595546524423
3973;Voorschoten;6;434909.0909090909;-4.5525206649357
3974;Voorschoten;7;302462.5;-30.45385660535117
3975;Voorschoten;8;376466.6666666667;24.4672204543263
3976;Voorschoten;9;436946.4285714286;16.065104100786765
3977;Voorschoten;10;381913.7931034483;-12.59482441541091
3978;Voorschoten;11;486690.4761904762;27.434642314331725
3979;Voorschoten;12;421583.3333333333;-13.377525561371762
3980;Voorst;1;277227.2727272727;
3981;Voorst;2;358000.0;29.135923921954433
3982;Voorst;3;361527.77777777775;0.9854127870887686
3983;Voorst;4;294625.0;-18.505570495582013
3984;Voorst;5;452547.61904761905;53.60122835727419
3985;Voorst;6;286038.46153846156;-36.793731863969136
3986;Voorst;7;360125.0;25.900900900900893
3987;Voorst;8;362250.0;0.590072891357174
3988;Voorst;9;356125.0;-1.6908212560386437
3989;Voorst;10;414666.6666666667;16.438516438516437
3990;Voorst;11;420766.6666666667;1.4710610932475943
3991;Voorst;12;434666.6666666667;3.3034936227521294
3992;Vught;1;428826.0869565217;
3993;Vught;2;534666.6666666666;24.681469465003893
3994;Vught;3;437546.875;-18.164549563591017
3995;Vught;4;429022.7272727273;-1.9481678911025702
3996;Vught;5;462821.4285714286;7.878067792249066
3997;Vught;6;443171.875;-4.2456015124623825
3998;Vught;7;512562.5;15.657723089941111
3999;Vught;8;450480.0;-12.11218144128765
4000;Vught;9;429779.66101694916;-4.595173810835296
4001;Vught;10;388078.94736842107;-9.702812261951955
4002;Vught;11;486048.7804878049;25.24482036032132
4003;Vught;12;453050.0;-6.789191087916501
4004;Waadhoeke;1;185719.69696969696;
4005;Waadhoeke;2;190975.0;2.8296961044258717
4006;Waadhoeke;3;216470.93023255814;13.350402006837614
4007;Waadhoeke;4;190791.0975609756;-11.862947437789584
4008;Waadhoeke;5;223975.54347826086;17.393078786959503
4009;Waadhoeke;6;214096.73913043478;-4.410662072479765
4010;Waadhoeke;7;209722.44897959183;-2.043137213863866
4011;Waadhoeke;8;234085.7142857143;11.616908645050806
4012;Waadhoeke;9;214300.0;-8.452337361161966
4013;Waadhoeke;10;194955.55555555556;-9.026805620366051
4014;Waadhoeke;11;193653.84615384616;-0.667695464230289
4015;Waadhoeke;12;239765.625;23.811444885799403
4016;Waalre;1;377722.7272727273;
4017;Waalre;2;468400.0;24.006305731717582
4018;Waalre;3;380833.3333333333;-18.694847708511254
4019;Waalre;4;379363.63636363635;-0.38591605331210754
4020;Waalre;5;395166.6666666667;4.165668184359772
4021;Waalre;6;378795.45454545453;-4.142862620298315
4022;Waalre;7;523214.28571428574;38.12580891239319
4023;Waalre;8;427382.35294117645;-18.3160008030516
4024;Waalre;9;420310.3448275862;-1.6547262807932617
4025;Waalre;10;406113.63636363635;-3.3776728645052545
4026;Waalre;11;345576.92307692306;-14.906348338549357
4027;Waalre;12;491611.1111111111;42.25808446175725
4028;Waalwijk;1;275378.5714285714;
4029;Waalwijk;2;275241.0714285714;-0.049931263455504915
4030;Waalwijk;3;252104.61538461538;-8.40588794538254
4031;Waalwijk;4;246137.6923076923;-2.366844045207117
4032;Waalwijk;5;294639.5348837209;19.705166698076184
4033;Waalwijk;6;276966.5;-5.998188563084572
4034;Waalwijk;7;297026.6666666667;7.242813360701272
4035;Waalwijk;8;280368.08510638296;-5.608446456081517
4036;Waalwijk;9;297196.07843137253;6.002107307828686
4037;Waalwijk;10;286021.9512195122;-3.7598501537565276
4038;Waalwijk;11;305308.64197530865;6.743080617960873
4039;Waalwijk;12;354948.275862069;16.258836816933233
4040;Waddinxveen;1;198884.61538461538;
4041;Waddinxveen;2;308523.8095238095;55.12703631055982
4042;Waddinxveen;3;272564.0431654676;-11.655426663453927
4043;Waddinxveen;4;323385.71428571426;18.645772395368354
4044;Waddinxveen;5;309080.6451612903;-4.423531557669646
4045;Waddinxveen;6;264541.17647058825;-14.4103066264339
4046;Waddinxveen;7;293475.0;10.937361024637537
4047;Waddinxveen;8;311516.3043478261;6.147475712693118
4048;Waddinxveen;9;307495.76271186443;-1.2906360212441736
4049;Waddinxveen;10;329215.4166666667;7.063399431345796
4050;Waddinxveen;11;330525.0;0.39778918818351716
4051;Waddinxveen;12;287473.6842105263;-13.025131469472417
4052;Wageningen;1;279557.6923076923;
