;Buurtnaam;koopprijs
723;Bijdorp;424796,875
724;Bijlmermuseum Noord;223600,0
725;Bijlmermuseum Zuid;235579,5
726;Bijlstraat;338866,6666666667
727;Bijvanck;334211,1111111111
728;Bijvanck Noord;308722,22222222225
729;Bijvanck West;365666,6666666667
730;Bikbergen;1660000,0
731;Bikkelkamp;264500,0
732;Bikkersvaart;292339,28571428574
733;Bilderberg;108250,0
734;Bilgaard;155272,72727272726
735;Bilthoven Noord;917332,911392405
736;Bilthoven Zuid Oost;520680,55555555556
737;Bilthoven Zuid West;429190,4761904762
738;Binckhorst;615704,2553191489
739;Binderen;216710,52631578947
740;Bingelrade;291045,45454545453
741;Binnen Krimpen;239000,0
742;Binnengouw;349500,0
743;Binnenhof;408555,55555555556
744;Binnenland;258571,42857142858
745;Binnenlanden West;219315,7894736842
746;Binnenstad;328434,54142011836
747;Binnenstad   Buurt 10 00;370800,0
748;Binnenstad   Buurt 10 01;393411,1111111111
749;Binnenstad   Buurt 10 02;293444,44444444444
750;Binnenstad   Buurt 10 03;253133,33333333334
751;Binnenstad Centrum;439398,4375
752;Binnenstad Grave;267578,94736842107
