;global_id;postcode;Gemeentenaam;Buurtnaam;Afstand_tot_huisartsenpraktijk_km
1166;4100330;1011KA;Amsterdam                               ;Zuiderkerkbuurt;3
1169;4091468;2582KE;s Gravenhage                           ;Statenkwartier;4
1191;4092519;6221GJ;Maastricht                              ;Wyck;4
1200;4102350;1945TK;Beverwijk                               ;Wijkerbaan;4
1201;4120697;1213XK;Hilversum                               ;Schilderskwartier;4
1228;4103248;1073RA;Amsterdam                               ;Burgemeester Tellegenbuurt Oost;4
1231;4103623;2555VS;s Gravenhage                           ;Componistenbuurt;3
1237;4103919;1065GN;Amsterdam                               ;Louis Crispijnbuurt;3
1257;4138923;1018AW;Amsterdam                               ;Kadijken;3
1265;4123289;6411HT;Heerlen                                 ;Heerlen Centrum;4
1266;4123382;3317WC;Dordrecht                               ;Dorus Rijkersstraat en omgeving;3
1269;4123927;7631GA;Dinkelland                              ;Ootmarsum Kern;4
1271;4124069;2631CW;Pijnacker Nootdorp                      ;Nootdorp Centrum/West;3
1272;4091463;3034ZL;Rotterdam                               ;Oud Crooswijk;4
1276;4106192;2025WD;Haarlem                                 ;Nachtegaalbuurt;3
1286;4095786;5025TD;Tilburg                                 ;Schrijversbuurt;3
1296;4095957;5022BM;Tilburg                                 ;Vogeltjesbuurt West;4
1305;4125872;3341EM;Hendrik Ido Ambacht                     ;Oostendam;4
1313;4096645;9166LB;Schiermonnikoog                         ;Schiermonnikoog;4
1314;4096643;9166LB;Schiermonnikoog                         ;Schiermonnikoog;4
1317;4096648;9166LB;Schiermonnikoog                         ;Schiermonnikoog;4
1330;4097340;9166NT;Schiermonnikoog                         ;Schiermonnikoog;4
1331;4097353;3607KB;Stichtse Vecht                          ;Spechtenkamp;4
1335;4097547;3769BA;Soest                                   ;Soesterberg Kom;3
1338;4127601;1056DA;Amsterdam                               ;Jan Maijenbuurt;3
1348;4120082;6717GZ;Ede                                     ;Hoogbouw Zuid;4
1357;4128083;4623XM;Bergen op Zoom                          ;Gageldonk Oost;4
1358;4098392;7425PC;Deventer                                ;Spikvoorde;4
1359;4129317;2561VW;s Gravenhage                           ;Valkenboskwartier;3
1366;4095381;2512AN;s Gravenhage                           ;Zuidwal;4
1369;4122280;6709TT;Wageningen                              ;Kortenoord Oost;4
1370;4122293;6709TT;Wageningen                              ;Kortenoord Oost;4
1373;4121964;6001BD;Weert                                   ;Weert Centrum;4
1376;4097946;5237DK;s Hertogenbosch                        ;De Staatsliedenbuurt;4
1395;4096987;2751CN;Zuidplas                                ;Moerkapelle West;2
1396;4100452;9203RT;Smallingerland                          ;Centrum;4
1397;4100483;3604DW;Stichtse Vecht                          ;Op Buuren;4
1401;4098062;4876AK;Etten Leur                              ;Banakkers 1;4
1406;4096610;2564SZ;s Gravenhage                           ;Vruchtenbuurt;4
1413;4125743;3608AA;Stichtse Vecht                          ;Boomstede;4
1414;4098124;1363BB;Almere                                  ;Europakwartier;4
1416;4098304;2523JB;s Gravenhage                           ;Laakkwartier West;3
1419;4134482;7315GG;Apeldoorn                               ;Het Loo;4
1422;4126946;2353TC;Leiderdorp                              ;Winkelhof;2
1429;4101571;2013RN;Haarlem                                 ;Leidsebuurt west;4
1432;4128117;1082EK;Amsterdam                               ;Buitenveldert Midden Zuid;4
1433;4098795;2565HM;s Gravenhage                           ;Bomenbuurt;4
1443;4099778;9712RJ;Groningen                               ;Hortusbuurt Ebbingekwartier;3
1448;4137708;3023BA;Rotterdam                               ;Nieuwe Westen;3
1451;4102971;2805AE;Gouda                                   ;Statensingel;3
1454;4129175;3513BB;Utrecht                                 ;Pijlsweerd Zuid;4
1461;4137684;3023BA;Rotterdam                               ;Nieuwe Westen;3
1462;4138005;6521GK;Nijmegen                                ;Altrade;4
1464;4131477;1781EM;Den Helder                              ;Centrum;2
1465;4102708;8121GA;Olst Wijhe                              ;Olst Centrum West;4
1472;4138922;1018AW;Amsterdam                               ;Kadijken;3
1473;4104208;3021BH;Rotterdam                               ;Middelland;3
1490;4105234;7429AT;Deventer                                ;Dorp Colmschate;4
1492;4133660;1054BL;Amsterdam                               ;Helmersbuurt Oost;1
1494;4101533;3083ZH;Rotterdam                               ;Carnisse;3
1497;4134185;8261HV;Kampen                                  ;Binnenstad Kampen;4
1499;4142314;8012VT;Zwolle                                  ;Oud Assendorp;3
1501;4101525;9603AB;Midden Groningen                        ;Stadshart Zuid;3
1504;4101952;1215EE;Hilversum                               ;Schrijverskwartier;4
1506;4141084;7741EW;Coevorden                               ;Coevorden Centrum;3
1512;4134879;3962EA;Wijk bij Duurstede                      ;Frankenhof;3
1520;4102332;3258AE;Goeree Overflakkee                      ;Den Bommel woonkern;4
1531;4103038;6652BJ;Druten                                  ;Druten Bouwing;4
1532;4144960;2343TW;Oegstgeest                              ;Bloemenbuurt;4
1535;4137668;3023BA;Rotterdam                               ;Nieuwe Westen;3
1536;4137686;3023BA;Rotterdam                               ;Nieuwe Westen;3
1538;4137202;3962XX;Wijk bij Duurstede                      ;De Heul;4
1543;4118847;7604CP;Almelo                                  ;Aalderinkshoek Noordoost;4
1546;4138726;3083CD;Rotterdam                               ;Carnisse;3
1547;4138969;1015GJ;Amsterdam                               ;Driehoekbuurt;2
1548;4146708;3523GG;Utrecht                                 ;Nieuw Hoograven Noord;2
1549;4103853;7631GA;Dinkelland                              ;Ootmarsum Kern;4
1554;4122272;6709TT;Wageningen                              ;Kortenoord Oost;4
1564;4120496;3051RJ;Rotterdam                               ;Hillegersberg Zuid;3
1567;4142330;3083CD;Rotterdam                               ;Carnisse;3
1572;4120995;2563BP;s Gravenhage                           ;Valkenboskwartier;3
1575;4105432;4815EG;Breda                                   ;Belcrum;4
1579;4148980;1015NT;Amsterdam                               ;Anjeliersbuurt Zuid;3
1586;4105218;4901ZX;Oosterhout                              ;Molenbuurt;3
1587;4122271;6709TT;Wageningen                              ;Kortenoord Oost;4
1593;4121653;1813CH;Alkmaar                                 ;Oosterhout;4
1594;4105676;3742BA;Baarn                                   ;Oude Oosterhei;4
1595;4122283;6709TT;Wageningen                              ;Kortenoord Oost;4
1596;4122299;6709TT;Wageningen                              ;Kortenoord Oost;4
1597;4122301;6709TT;Wageningen                              ;Kortenoord Oost;4
1598;4122308;7447BS;Hellendoorn                             ;De Höfte;4
1602;4106324;4901ZX;Oosterhout                              ;Molenbuurt;3
1604;4143309;2561VP;s Gravenhage                           ;Koningsplein en omgeving;4
1609;4106699;7556CM;Hengelo                                 ;Tichelwerk;4
1624;4123446;1215AL;Hilversum                               ;Schrijverskwartier;4
1630;4124639;1066AA;Amsterdam                               ;Staalmanbuurt;3
1631;4152737;2152CL;Haarlemmermeer                          ;Nieuw Vennep Welgelegen;4
1639;4118380;3083RC;Rotterdam                               ;Carnisse;3
1644;4125648;3083RC;Rotterdam                               ;Carnisse;3
1647;4126088;2152CE;Haarlemmermeer                          ;Nieuw Vennep Welgelegen;4
1655;4155524;1071HC;Amsterdam                               ;Cornelis Schuytbuurt;3
1657;4149647;1781VD;Den Helder                              ;Visbuurt;4
1660;4166956;1052VH;Amsterdam                               ;Frederik Hendrikbuurt Zuidwest;4
1676;4120034;8734GK;Súdwest Fryslân                         ;Easterein;4
1684;4129417;6709PD;Wageningen                              ;Kortenoord Oost;4
1685;4129418;6709PD;Wageningen                              ;Kortenoord Oost;4
1688;4129207;6212EJ;Maastricht                              ;Villapark;4
1691;4119929;6602HA;Wijchen                                 ;Centrum;3
1693;4169024;3826GR;Amersfoort                              ;Hogesteeg;2
1696;4169367;4726AP;Roosendaal                              ;Heerle;4
1709;4152573;3076SC;Rotterdam                               ;Lombardijen;4
1712;4121070;2641DV;Pijnacker Nootdorp                      ;Pijnacker Centrum/Dorp;4
1714;4132004;1066TH;Amsterdam                               ;Nieuw Sloten Noordwest;4
1719;4132369;3024EA;Rotterdam                               ;Schiemond;4
1721;4122278;6709TT;Wageningen                              ;Kortenoord Oost;4
1722;4122294;6709TT;Wageningen                              ;Kortenoord Oost;4
1723;4122300;6709TT;Wageningen                              ;Kortenoord Oost;4
1730;4132614;3028BJ;Rotterdam                               ;Oud Mathenesse;4
1743;4133423;1441AJ;Purmerend                               ;Binnenstad;3
1752;4123253;5171GP;Loon op Zand                            ;Schrijversbuurt;2
1778;4132424;2931HC;Krimpenerwaard                          ;Beroepenbuurt;4
1779;4175170;1181WN;Amstelveen                              ;Stadshart;3
