;Gemeentenaam;month;koopprijs
716;Coevorden;1;259257.40740740742
717;Coevorden;2;269464.28571428574
718;Coevorden;3;228309.78260869565
719;Coevorden;4;259000.0
720;Coevorden;5;266448.48484848486
721;Coevorden;6;248439.0243902439
722;Coevorden;7;217136.11111111112
723;Coevorden;8;257078.94736842104
724;Coevorden;9;261182.92682926828
725;Coevorden;10;259778.57142857142
726;Coevorden;11;275520.45454545453
727;Coevorden;12;234475.0
728;Cranendonck;1;284528.3333333333
729;Cranendonck;2;296800.0
730;Cranendonck;3;277868.4210526316
731;Cranendonck;4;257833.33333333334
732;Cranendonck;5;333588.23529411765
733;Cranendonck;6;359031.25
734;Cranendonck;7;328100.0
735;Cranendonck;8;306583.3333333333
736;Cranendonck;9;344800.0
737;Cranendonck;10;270468.75
738;Cranendonck;11;332458.3333333333
739;Cranendonck;12;290227.2727272727
740;Cromstrijen;1;323681.8181818182
741;Cromstrijen;2;224500.0
742;Cromstrijen;3;298518.75
743;Cromstrijen;4;306000.0
744;Cromstrijen;5;270857.14285714284
745;Cromstrijen;6;314466.6666666667
746;Cromstrijen;7;370000.0
747;Cromstrijen;8;358068.1818181818
748;Cromstrijen;9;307323.5294117647
749;Cromstrijen;10;256147.0588235294
750;Cromstrijen;11;264687.5
751;Cromstrijen;12;308658.3333333333
752;Cuijk;1;261312.5
753;Cuijk;2;255583.33333333334
754;Cuijk;3;283979.1666666667
755;Cuijk;4;249640.0
756;Cuijk;5;355772.7272727273
757;Cuijk;6;298913.04347826086
758;Cuijk;7;228233.33333333334
759;Cuijk;8;276689.6551724138
760;Cuijk;9;268923.07692307694
761;Cuijk;10;347515.25423728814
762;Cuijk;11;283478.26086956525
763;Cuijk;12;256708.33333333334
764;Culemborg;1;241707.87037037036
765;Culemborg;2;281071.4285714286
766;Culemborg;3;275430.6818181818
767;Culemborg;4;353272.6
768;Culemborg;5;308622.9166666667
769;Culemborg;6;248378.37837837837
770;Culemborg;7;345307.6923076923
771;Culemborg;8;272977.0833333333
772;Culemborg;9;375041.22857142857
773;Culemborg;10;311604.6511627907
774;Culemborg;11;293850.0
775;Culemborg;12;265892.85714285716
776;Dalfsen;1;332090.9090909091
